"","x"
"1",-5.94957698395942
"2",-5.91112503081647
"3",-5.87284684705916
"4",-5.83474190808987
"5",-5.79680969025764
"6",-5.75904967085751
"7",-5.7214613281296
"8",-5.68404414125843
"9",-5.64679759037204
"10",-5.60972115654126
"11",-5.57281432177891
"12",-5.53607656903898
"13",-5.49950738221586
"14",-5.46310624614357
"15",-5.42687264659491
"16",-5.39080607028073
"17",-5.35490600484912
"18",-5.3191719388846
"19",-5.28360336190736
"20",-5.24819976437244
"21",-5.21296063766897
"22",-5.17788547411934
"23",-5.14297376697846
"24",-5.10822501043292
"25",-5.07363869960022
"26",-5.03921433052801
"27",-5.00495140019325
"28",-4.97084940650143
"29",-4.9369078482858
"30",-4.90312622530659
"31",-4.86950403825014
"32",-4.83604078872823
"33",-4.80273597927719
"34",-4.76958911335718
"35",-4.73659969535131
"36",-4.70376723056497
"37",-4.67109122522492
"38",-4.63857118647858
"39",-4.60620662239323
"40",-4.57399704195517
"41",-4.54194195506899
"42",-4.51004087255672
"43",-4.47829330615709
"44",-4.44669876852474
"45",-4.41525677322937
"46",-4.38396683475503
"47",-4.35282846849926
"48",-4.32184119077234
"49",-4.29100451879648
"50",-4.26031797070506
"51",-4.22978106554178
"52",-4.19939332325993
"53",-4.16915426472159
"54",-4.13906341169679
"55",-4.10912028686278
"56",-4.07932441380321
"57",-4.04967531700733
"58",-4.02017252186922
"59",-3.990815554687
"60",-3.96160394266203
"61",-3.93253721389812
"62",-3.90361489740074
"63",-3.87483652307621
"64",-3.84620162173096
"65",-3.8177097250707
"66",-3.78936036569963
"67",-3.76115307711967
"68",-3.73308739372964
"69",-3.7051628508245
"70",-3.67737898459455
"71",-3.64973533212462
"72",-3.62223143139331
"73",-3.59486682127217
"74",-3.56764104152495
"75",-3.54055363280674
"76",-3.51360413666327
"77",-3.48679209553004
"78",-3.46011705273157
"79",-3.4335785524806
"80",-3.40717613987731
"81",-3.38090936090852
"82",-3.35477776244687
"83",-3.32878089225011
"84",-3.30291829896021
"85",-3.27718953210264
"86",-3.25159414208556
"87",-3.22613168019902
"88",-3.20080169861417
"89",-3.17560375038249
"90",-3.15053738943497
"91",-3.12560217058135
"92",-3.10079764950929
"93",-3.07612338278364
"94",-3.05157892784558
"95",-3.02716384301187
"96",-3.00287768747406
"97",-2.97872002129768
"98",-2.95469040542147
"99",-2.93078840165657
"100",-2.90701357268575
"101",-2.8833654820626
"102",-2.85984369421076
"103",-2.8364477744231
"104",-2.81317728886095
"105",-2.79003180455332
"106",-2.7670108893961
"107",-2.74411411215123
"108",-2.72134104244599
"109",-2.69869125077212
"110",-2.67616430848512
"111",-2.65375978780337
"112",-2.63147726180741
"113",-2.60931630443911
"114",-2.58727649050089
"115",-2.56535739565495
"116",-2.54355859642243
"117",-2.52187967018268
"118",-2.50032019517241
"119",-2.47887975048494
"120",-2.45755791606942
"121",-2.43635427272998
"122",-2.41526840212501
"123",-2.39429988676631
"124",-2.37344831001833
"125",-2.3527132560974
"126",-2.33209431007089
"127",-2.31159105785644
"128",-2.2912030862212
"129",-2.27092998278099
"130",-2.25077133599954
"131",-2.23072673518768
"132",-2.21079577050258
"133",-2.19097803294694
"134",-2.17127311436819
"135",-2.1516806074577
"136",-2.13220010575002
"137",-2.11283120362207
"138",-2.09357349629231
"139",-2.07442657982004
"140",-2.05539005110453
"141",-2.03646350788424
"142",-2.01764654873607
"143",-1.99893877307455
"144",-1.98033978115102
"145",-1.96184917405287
"146",-1.94346655370277
"147",-1.92519152285781
"148",-1.90702368510879
"149",-1.88896264487937
"150",-1.87100800742531
"151",-1.85315937883366
"152",-1.83541636602199
"153",-1.8177785767376
"154",-1.80024561955669
"155",-1.78281710388362
"156",-1.76549263995008
"157",-1.74827183881435
"158",-1.73115431236044
"159",-1.71413967329735
"160",-1.69722753515827
"161",-1.68041751229978
"162",-1.66370921990108
"163",-1.64710227396315
"164",-1.63059629130802
"165",-1.61419088957794
"166",-1.59788568723461
"167",-1.58168030355838
"168",-1.56557435864746
"169",-1.54956747341713
"170",-1.53365926959895
"171",-1.51784936973996
"172",-1.50213739720192
"173",-1.48652297616047
"174",-1.4710057316044
"175",-1.4555852893348
"176",-1.44026127596431
"177",-1.42503331891631
"178",-1.40990104642414
"179",-1.3948640875303
"180",-1.37992207208566
"181",-1.36507463074869
"182",-1.35032139498464
"183",-1.33566199706476
"184",-1.32109607006552
"185",-1.30662324786781
"186",-1.29224316515615
"187",-1.2779554574179
"188",-1.26375976094246
"189",-1.24965571282051
"190",-1.23564295094318
"191",-1.22172111400129
"192",-1.20788984148453
"193",-1.19414877368071
"194",-1.18049755167493
"195",-1.16693581734882
"196",-1.15346321337971
"197",-1.14007938323989
"198",-1.12678397119578
"199",-1.11357662230716
"200",-1.10045698242637
"201",-1.08742469819753
"202",-1.07447941705572
"203",-1.06162078722624
"204",-1.04884845772377
"205",-1.0361620783516
